timestamp,arbitration_id,extended,remote,error,dlc,data
1779632560.810345,0x120,0,0,0,8,AAAAAQAAAAA=
1779632560.830567,0x120,0,0,0,8,AAAAAQAAAAA=
1779632560.8511367,0x120,0,0,0,8,AAAAAQAAAAA=
1779632560.871393,0x120,0,0,0,8,AAAAAQAAAAA=
1779632560.8916032,0x120,0,0,0,8,AAAAAQAAAAA=
1779632560.9118183,0x120,0,0,0,8,AAAAAQAAAAA=
1779632560.9320896,0x120,0,0,0,8,AAAAAQAAAAA=
1779632560.9523797,0x120,0,0,0,8,AAAAAQAAAAA=
1779632560.9726849,0x120,0,0,0,8,AAAAAQAAAAA=
1779632560.9928205,0x120,0,0,0,8,AAAAAQAAAAA=
1779632561.0131032,0x120,0,0,0,8,AAAAAQAAAAA=
1779632561.0333805,0x120,0,0,0,8,AAAAAQAAAAA=
1779632561.0535898,0x120,0,0,0,8,AAAAAQAAAAA=
1779632561.0737731,0x120,0,0,0,8,AAAAAQAAAAA=
1779632561.0940046,0x120,0,0,0,8,AAAAAQAAAAA=
1779632561.1142418,0x120,0,0,0,8,AAAAAQAAAAA=
1779632561.1345203,0x120,0,0,0,8,AAAAAQAAAAA=
1779632561.15477,0x120,0,0,0,8,AAAAAQAAAAA=
1779632561.1750324,0x120,0,0,0,8,AAAAAQAAAAA=
1779632561.1928415,0x130,0,0,0,8,AAAAAFVaAFw=
1779632561.1953175,0x120,0,0,0,8,AAAAAQAAAAA=
1779632561.2158735,0x120,0,0,0,8,AAAAAQAAAAA=
1779632561.2361329,0x120,0,0,0,8,AAAAAQAAAAA=
1779632561.2538564,0x130,0,0,0,8,AAAAAFVaAF8=
1779632561.2564647,0x120,0,0,0,8,AAAAAQAAAAA=
1779632561.2767587,0x120,0,0,0,8,AAAAAQAAAAA=
